GAME_ID,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_ABR,HOME_TEAM_PTS,VISITOR_TEAM_ID,VISITOR_TEAM_ABR,VISITOR_TEAM_PTS
0022100001,10/19/2021,1610612749,MIL,127,1610612751,BKN,104
0022100002,10/19/2021,1610612747,LAL,114,1610612744,GSW,121
0022100003,10/20/2021,1610612766,CHA,123,1610612754,IND,122
0022100004,10/20/2021,1610612765,DET,88,1610612741,CHI,94
0022100005,10/20/2021,1610612752,NYK,138,1610612738,BOS,134
0022100006,10/20/2021,1610612761,TOR,83,1610612764,WAS,98
0022100007,10/20/2021,1610612763,MEM,132,1610612739,CLE,121
0022100008,10/20/2021,1610612750,MIN,124,1610612745,HOU,106
0022100009,10/20/2021,1610612740,NOP,97,1610612755,PHI,117
0022100010,10/20/2021,1610612759,SAS,123,1610612753,ORL,97
0022100011,10/20/2021,1610612762,UTA,107,1610612760,OKC,86
0022100012,10/20/2021,1610612756,PHX,98,1610612743,DEN,110
0022100013,10/20/2021,1610612757,POR,121,1610612758,SAC,124
0022100014,10/21/2021,1610612737,ATL,113,1610612742,DAL,87
0022100015,10/21/2021,1610612748,MIA,137,1610612749,MIL,95
0022100016,10/21/2021,1610612744,GSW,115,1610612746,LAC,113
0022100017,10/22/2021,1610612739,CLE,112,1610612766,CHA,123
0022100018,10/22/2021,1610612753,ORL,96,1610612752,NYK,121
0022100019,10/22/2021,1610612764,WAS,135,1610612754,IND,134
0022100020,10/22/2021,1610612738,BOS,83,1610612761,TOR,115
0022100021,10/22/2021,1610612755,PHI,109,1610612751,BKN,114
0022100022,10/22/2021,1610612741,CHI,128,1610612740,NOP,112
0022100023,10/22/2021,1610612745,HOU,124,1610612760,OKC,91
0022100024,10/22/2021,1610612743,DEN,102,1610612759,SAS,96
0022100025,10/22/2021,1610612747,LAL,105,1610612756,PHX,115
0022100026,10/22/2021,1610612758,SAC,101,1610612762,UTA,110
0022100027,10/23/2021,1610612739,CLE,101,1610612737,ATL,95
0022100028,10/23/2021,1610612754,IND,102,1610612748,MIA,91
0022100029,10/23/2021,1610612761,TOR,95,1610612742,DAL,103
0022100030,10/23/2021,1610612741,CHI,97,1610612765,DET,82
0022100031,10/23/2021,1610612750,MIN,96,1610612740,NOP,89
0022100032,10/23/2021,1610612759,SAS,111,1610612749,MIL,121
0022100033,10/23/2021,1610612757,POR,134,1610612756,PHX,105
0022100034,10/23/2021,1610612746,LAC,114,1610612763,MEM,120
0022100035,10/24/2021,1610612751,BKN,95,1610612766,CHA,111
0022100036,10/24/2021,1610612752,NYK,104,1610612753,ORL,110
0022100037,10/24/2021,1610612745,HOU,97,1610612738,BOS,107
0022100038,10/24/2021,1610612760,OKC,103,1610612755,PHI,115
0022100039,10/24/2021,1610612758,SAC,107,1610612744,GSW,119
0022100040,10/24/2021,1610612747,LAL,121,1610612763,MEM,118
0022100041,10/25/2021,1610612766,CHA,129,1610612738,BOS,140
0022100042,10/25/2021,1610612754,IND,109,1610612749,MIL,119
0022100043,10/25/2021,1610612737,ATL,122,1610612765,DET,104
0022100044,10/25/2021,1610612751,BKN,104,1610612764,WAS,90
0022100045,10/25/2021,1610612748,MIA,107,1610612753,ORL,90
